time,longitude,latitude,pco2_uatm
2024-09-01,-101.25,10.5,435.36328
2024-09-01,-101.0,10.5,429.496
2024-09-01,-100.75,10.5,425.09296
2024-09-01,-100.5,10.5,423.43964
2024-09-01,-100.25,10.5,425.94702
2024-09-01,-100.0,10.5,428.77795
2024-09-01,-99.75,10.5,429.46872
2024-09-01,-99.5,10.5,427.0024
2024-09-01,-99.25,10.5,423.88608
2024-09-01,-99.0,10.5,425.6996
2024-09-01,-98.75,10.5,432.4277
2024-09-01,-98.5,10.5,430.79636
2024-09-01,-98.25,10.5,410.64453
2024-09-01,-98.0,10.5,392.35672
2024-09-01,-97.75,10.5,385.92593
2024-09-01,-97.5,10.5,387.45572
2024-09-01,-97.25,10.5,390.76825
2024-09-01,-97.0,10.5,393.9289
2024-09-01,-96.75,10.5,398.57233
2024-09-01,-96.5,10.5,404.14337
2024-09-01,-96.25,10.5,410.22296
2024-09-01,-96.0,10.5,408.89758
2024-09-01,-95.75,10.5,403.1912
2024-09-01,-95.5,10.5,402.04678
2024-09-01,-95.25,10.5,404.92047
2024-09-01,-95.0,10.5,408.9696
2024-09-01,-94.75,10.5,417.18842
2024-09-01,-94.5,10.5,438.46124
2024-09-01,-94.25,10.5,456.7251
2024-09-01,-94.0,10.5,460.73148
2024-09-01,-93.75,10.5,464.7475
2024-09-01,-93.5,10.5,467.89862
2024-09-01,-93.25,10.5,471.25964
2024-09-01,-93.0,10.5,470.90265
2024-09-01,-92.75,10.5,468.83698
2024-09-01,-92.5,10.5,465.18195
2024-09-01,-92.25,10.5,459.77472
2024-09-01,-92.0,10.5,460.01404
2024-09-01,-91.75,10.5,471.3838
2024-09-01,-91.5,10.5,495.57126
2024-09-01,-91.25,10.5,509.78055
2024-09-01,-91.0,10.5,528.3169
2024-09-01,-90.75,10.5,502.92096
2024-09-01,-90.5,10.5,441.5942
2024-09-01,-90.25,10.5,387.39038
2024-09-01,-90.0,10.5,373.96713
2024-09-01,-110.0,10.75,404.9715
2024-09-01,-109.75,10.75,399.89325
2024-09-01,-109.5,10.75,396.4339
2024-09-01,-109.25,10.75,397.616
2024-09-01,-109.0,10.75,398.18622
2024-09-01,-108.75,10.75,399.7836
2024-09-01,-108.5,10.75,396.82697
2024-09-01,-108.25,10.75,392.35156
2024-09-01,-108.0,10.75,391.39655
2024-09-01,-107.75,10.75,398.4219
2024-09-01,-107.5,10.75,408.58505
2024-09-01,-107.25,10.75,416.76163
2024-09-01,-107.0,10.75,420.26178
2024-09-01,-106.75,10.75,420.3382
2024-09-01,-106.5,10.75,419.25763
2024-09-01,-106.25,10.75,417.85263
2024-09-01,-106.0,10.75,416.00537
2024-09-01,-105.75,10.75,411.48016
2024-09-01,-105.5,10.75,404.3808
2024-09-01,-105.25,10.75,400.7936
2024-09-01,-105.0,10.75,398.95554
2024-09-01,-104.75,10.75,401.65665
2024-09-01,-104.5,10.75,404.7458
2024-09-01,-104.25,10.75,403.47614
2024-09-01,-104.0,10.75,402.76215
2024-09-01,-103.75,10.75,407.9666
2024-09-01,-103.5,10.75,412.76007
2024-09-01,-103.25,10.75,417.727
2024-09-01,-103.0,10.75,426.82858
2024-09-01,-102.75,10.75,434.56085
2024-09-01,-102.5,10.75,439.74167
2024-09-01,-102.25,10.75,441.20575
2024-09-01,-102.0,10.75,440.3168
2024-09-01,-101.75,10.75,440.9595
2024-09-01,-101.5,10.75,439.84857
2024-09-01,-101.25,10.75,433.4544
2024-09-01,-101.0,10.75,425.93158
2024-09-01,-100.75,10.75,423.7891
2024-09-01,-100.5,10.75,427.00687
2024-09-01,-100.25,10.75,435.1013
2024-09-01,-100.0,10.75,442.38162
2024-09-01,-99.75,10.75,445.6939
2024-09-01,-99.5,10.75,441.10175
2024-09-01,-99.25,10.75,430.81906
2024-09-01,-99.0,10.75,428.0973
2024-09-01,-98.75,10.75,431.99445
2024-09-01,-98.5,10.75,427.2812
2024-09-01,-98.25,10.75,397.68658
2024-09-01,-98.0,10.75,383.403
2024-09-01,-97.75,10.75,384.74948
2024-09-01,-97.5,10.75,387.51035
2024-09-01,-97.25,10.75,391.66272
2024-09-01,-97.0,10.75,396.09967
2024-09-01,-96.75,10.75,399.72522
2024-09-01,-96.5,10.75,401.13196
2024-09-01,-96.25,10.75,400.73016
2024-09-01,-96.0,10.75,399.31305
2024-09-01,-95.75,10.75,398.2878
2024-09-01,-95.5,10.75,402.34094
2024-09-01,-95.25,10.75,407.40842
2024-09-01,-95.0,10.75,411.43677
2024-09-01,-94.75,10.75,415.18234
2024-09-01,-94.5,10.75,426.52985
2024-09-01,-94.25,10.75,447.41153
2024-09-01,-94.0,10.75,452.1867
2024-09-01,-93.75,10.75,449.0504
2024-09-01,-93.5,10.75,446.41708
2024-09-01,-93.25,10.75,443.60687
2024-09-01,-93.0,10.75,440.81012
2024-09-01,-92.75,10.75,439.38617
2024-09-01,-92.5,10.75,439.3115
2024-09-01,-92.25,10.75,435.7039
2024-09-01,-92.0,10.75,438.1831
2024-09-01,-91.75,10.75,455.95294
2024-09-01,-91.5,10.75,489.72028
2024-09-01,-91.25,10.75,511.44437
2024-09-01,-91.0,10.75,521.6065
2024-09-01,-90.75,10.75,461.63507
2024-09-01,-90.5,10.75,409.3369
2024-09-01,-90.25,10.75,374.33658
2024-09-01,-90.0,10.75,367.00842
2024-09-01,-110.0,11.0,398.16803
2024-09-01,-109.75,11.0,394.4674
2024-09-01,-109.5,11.0,392.33588
2024-09-01,-109.25,11.0,392.5848
2024-09-01,-109.0,11.0,394.61694
2024-09-01,-108.75,11.0,396.0296
2024-09-01,-108.5,11.0,393.40573
2024-09-01,-108.25,11.0,393.83014
2024-09-01,-108.0,11.0,401.89285
2024-09-01,-107.75,11.0,416.83856
2024-09-01,-107.5,11.0,430.61926
2024-09-01,-107.25,11.0,437.22488
2024-09-01,-107.0,11.0,435.92007
2024-09-01,-106.75,11.0,433.21713
2024-09-01,-106.5,11.0,431.7445
2024-09-01,-106.25,11.0,428.96997
2024-09-01,-106.0,11.0,424.7743
2024-09-01,-105.75,11.0,419.752
2024-09-01,-105.5,11.0,413.4546
2024-09-01,-105.25,11.0,405.25616
2024-09-01,-105.0,11.0,401.59845
2024-09-01,-104.75,11.0,400.97824
2024-09-01,-104.5,11.0,401.74915
2024-09-01,-104.25,11.0,401.8887
2024-09-01,-104.0,11.0,402.8866
2024-09-01,-103.75,11.0,407.7765
2024-09-01,-103.5,11.0,412.96198
2024-09-01,-103.25,11.0,418.91254
2024-09-01,-103.0,11.0,428.60852
2024-09-01,-102.75,11.0,437.14526
2024-09-01,-102.5,11.0,441.17953
2024-09-01,-102.25,11.0,441.68045
2024-09-01,-102.0,11.0,440.51053
2024-09-01,-101.75,11.0,441.82147
2024-09-01,-101.5,11.0,438.09314
2024-09-01,-101.25,11.0,430.20837
2024-09-01,-101.0,11.0,425.88425
2024-09-01,-100.75,11.0,427.24933
2024-09-01,-100.5,11.0,437.95502
2024-09-01,-100.25,11.0,451.18802
2024-09-01,-100.0,11.0,455.589
2024-09-01,-99.75,11.0,452.01797
2024-09-01,-99.5,11.0,444.39777
2024-09-01,-99.25,11.0,437.70898
2024-09-01,-99.0,11.0,433.72128
2024-09-01,-98.75,11.0,433.89633
2024-09-01,-98.5,11.0,426.1949
2024-09-01,-98.25,11.0,394.46033
2024-09-01,-98.0,11.0,379.73294
2024-09-01,-97.75,11.0,380.43262
2024-09-01,-97.5,11.0,381.2143
2024-09-01,-97.25,11.0,382.3164
2024-09-01,-97.0,11.0,384.81326
2024-09-01,-96.75,11.0,387.1812
2024-09-01,-96.5,11.0,388.33298
2024-09-01,-96.25,11.0,388.15283
2024-09-01,-96.0,11.0,389.26648
2024-09-01,-95.75,11.0,394.35565
2024-09-01,-95.5,11.0,402.32782
2024-09-01,-95.25,11.0,408.75095
2024-09-01,-95.0,11.0,412.8842
2024-09-01,-94.75,11.0,414.98352
2024-09-01,-94.5,11.0,419.06976
2024-09-01,-94.25,11.0,433.6768
2024-09-01,-94.0,11.0,445.96957
2024-09-01,-93.75,11.0,443.2799
2024-09-01,-93.5,11.0,436.94714
2024-09-01,-93.25,11.0,423.08832
2024-09-01,-93.0,11.0,414.0999
2024-09-01,-92.75,11.0,413.16635
2024-09-01,-92.5,11.0,414.79993
2024-09-01,-92.25,11.0,416.59863
2024-09-01,-92.0,11.0,420.87152
2024-09-01,-91.75,11.0,444.6292
2024-09-01,-91.5,11.0,487.3156
2024-09-01,-91.25,11.0,510.05478
2024-09-01,-91.0,11.0,489.95978
2024-09-01,-90.75,11.0,419.8767
2024-09-01,-90.5,11.0,385.46918
2024-09-01,-90.25,11.0,365.61444
2024-09-01,-90.0,11.0,360.58734
2024-09-01,-110.0,11.25,395.1913
2024-09-01,-109.75,11.25,394.4195
2024-09-01,-109.5,11.25,392.22156
2024-09-01,-109.25,11.25,391.7886
2024-09-01,-109.0,11.25,393.46704
2024-09-01,-108.75,11.25,395.06638
2024-09-01,-108.5,11.25,396.92297
2024-09-01,-108.25,11.25,408.45157
2024-09-01,-108.0,11.25,425.0813
2024-09-01,-107.75,11.25,439.01678
2024-09-01,-107.5,11.25,442.02466
2024-09-01,-107.25,11.25,441.50366
2024-09-01,-107.0,11.25,440.4425
2024-09-01,-106.75,11.25,438.3692
2024-09-01,-106.5,11.25,436.53702
2024-09-01,-106.25,11.25,432.92914
2024-09-01,-106.0,11.25,426.63876
2024-09-01,-105.75,11.25,421.5495
2024-09-01,-105.5,11.25,417.41296
2024-09-01,-105.25,11.25,410.37106
2024-09-01,-105.0,11.25,404.94858
2024-09-01,-104.75,11.25,402.11566
2024-09-01,-104.5,11.25,402.10007
2024-09-01,-104.25,11.25,402.72375
2024-09-01,-104.0,11.25,405.4552
2024-09-01,-103.75,11.25,409.89294
2024-09-01,-103.5,11.25,416.21167
2024-09-01,-103.25,11.25,425.015
2024-09-01,-103.0,11.25,435.1556
2024-09-01,-102.75,11.25,442.26965
2024-09-01,-102.5,11.25,443.33282
2024-09-01,-102.25,11.25,441.36612
2024-09-01,-102.0,11.25,440.20203
2024-09-01,-101.75,11.25,441.5763
2024-09-01,-101.5,11.25,436.5538
2024-09-01,-101.25,11.25,428.33774
2024-09-01,-101.0,11.25,427.60144
2024-09-01,-100.75,11.25,431.42877
2024-09-01,-100.5,11.25,446.12933
2024-09-01,-100.25,11.25,451.2225
2024-09-01,-100.0,11.25,446.17465
2024-09-01,-99.75,11.25,434.76758
2024-09-01,-99.5,11.25,431.92838
2024-09-01,-99.25,11.25,438.36124
2024-09-01,-99.0,11.25,441.56674
2024-09-01,-98.75,11.25,438.83856
2024-09-01,-98.5,11.25,428.07715
2024-09-01,-98.25,11.25,398.6781
2024-09-01,-98.0,11.25,379.03458
2024-09-01,-97.75,11.25,377.3163
2024-09-01,-97.5,11.25,377.97662
2024-09-01,-97.25,11.25,378.1656
2024-09-01,-97.0,11.25,379.119
2024-09-01,-96.75,11.25,380.0494
2024-09-01,-96.5,11.25,379.67505
2024-09-01,-96.25,11.25,378.26727
2024-09-01,-96.0,11.25,377.01312
2024-09-01,-95.75,11.25,381.5362
2024-09-01,-95.5,11.25,394.12646
2024-09-01,-95.25,11.25,406.1908
2024-09-01,-95.0,11.25,412.19864
2024-09-01,-94.75,11.25,414.88446
2024-09-01,-94.5,11.25,418.43213
2024-09-01,-94.25,11.25,426.9992
2024-09-01,-94.0,11.25,440.28882
2024-09-01,-93.75,11.25,444.93445
2024-09-01,-93.5,11.25,431.4574
2024-09-01,-93.25,11.25,410.05704
2024-09-01,-93.0,11.25,404.38184
2024-09-01,-92.75,11.25,405.71234
2024-09-01,-92.5,11.25,404.71332
2024-09-01,-92.25,11.25,407.7977
2024-09-01,-92.0,11.25,417.06406
2024-09-01,-91.75,11.25,449.5491
2024-09-01,-91.5,11.25,489.85504
2024-09-01,-91.25,11.25,500.64508
2024-09-01,-91.0,11.25,438.3291
2024-09-01,-90.75,11.25,388.87607
2024-09-01,-90.5,11.25,375.49286
2024-09-01,-90.25,11.25,369.2734
2024-09-01,-90.0,11.25,363.55157
2024-09-01,-110.0,11.5,396.96274
2024-09-01,-109.75,11.5,396.1536
2024-09-01,-109.5,11.5,394.84064
2024-09-01,-109.25,11.5,396.7716
2024-09-01,-109.0,11.5,401.81732
2024-09-01,-108.75,11.5,408.6185
2024-09-01,-108.5,11.5,419.0468
2024-09-01,-108.25,11.5,434.42447
2024-09-01,-108.0,11.5,443.8949
2024-09-01,-107.75,11.5,443.35587
2024-09-01,-107.5,11.5,441.28778
2024-09-01,-107.25,11.5,439.32776
2024-09-01,-107.0,11.5,439.13745
2024-09-01,-106.75,11.5,437.49078
2024-09-01,-106.5,11.5,435.4378
2024-09-01,-106.25,11.5,432.62415
2024-09-01,-106.0,11.5,424.6803
2024-09-01,-105.75,11.5,418.70343
2024-09-01,-105.5,11.5,415.2794
2024-09-01,-105.25,11.5,410.7603
2024-09-01,-105.0,11.5,406.5572
2024-09-01,-104.75,11.5,404.646
2024-09-01,-104.5,11.5,405.21948
2024-09-01,-104.25,11.5,407.82056
2024-09-01,-104.0,11.5,411.833
2024-09-01,-103.75,11.5,418.30347
2024-09-01,-103.5,11.5,426.59558
2024-09-01,-103.25,11.5,435.66522
2024-09-01,-103.0,11.5,443.67017
2024-09-01,-102.75,11.5,447.13385
2024-09-01,-102.5,11.5,444.96158
2024-09-01,-102.25,11.5,441.25574
2024-09-01,-102.0,11.5,440.3531
2024-09-01,-101.75,11.5,441.02066
2024-09-01,-101.5,11.5,434.97882
2024-09-01,-101.25,11.5,427.976
2024-09-01,-101.0,11.5,428.92322
2024-09-01,-100.75,11.5,436.46198
2024-09-01,-100.5,11.5,446.22595
2024-09-01,-100.25,11.5,446.3516
2024-09-01,-100.0,11.5,439.33032
2024-09-01,-99.75,11.5,428.77026
2024-09-01,-99.5,11.5,424.308
2024-09-01,-99.25,11.5,429.69354
2024-09-01,-99.0,11.5,442.93637
2024-09-01,-98.75,11.5,443.149
2024-09-01,-98.5,11.5,431.42853
2024-09-01,-98.25,11.5,405.7362
2024-09-01,-98.0,11.5,382.19604
2024-09-01,-97.75,11.5,376.30713
2024-09-01,-97.5,11.5,377.8051
2024-09-01,-97.25,11.5,381.10266
2024-09-01,-97.0,11.5,387.3156
2024-09-01,-96.75,11.5,387.70593
2024-09-01,-96.5,11.5,382.05206
2024-09-01,-96.25,11.5,376.9892
2024-09-01,-96.0,11.5,371.66794
2024-09-01,-95.75,11.5,370.55966
2024-09-01,-95.5,11.5,379.063
2024-09-01,-95.25,11.5,397.4566
2024-09-01,-95.0,11.5,408.80548
2024-09-01,-94.75,11.5,413.19208
2024-09-01,-94.5,11.5,419.49847
2024-09-01,-94.25,11.5,432.59244
2024-09-01,-94.0,11.5,439.92578
2024-09-01,-93.75,11.5,444.3946
2024-09-01,-93.5,11.5,414.67346
2024-09-01,-93.25,11.5,400.46204
2024-09-01,-93.0,11.5,399.68585
2024-09-01,-92.75,11.5,399.79276
2024-09-01,-92.5,11.5,401.14987
2024-09-01,-92.25,11.5,411.1475
2024-09-01,-92.0,11.5,430.4983
2024-09-01,-91.75,11.5,460.19305
2024-09-01,-91.5,11.5,483.93695
2024-09-01,-91.25,11.5,475.7821
2024-09-01,-91.0,11.5,402.3938
2024-09-01,-90.75,11.5,384.3324
2024-09-01,-90.5,11.5,382.56073
2024-09-01,-90.25,11.5,373.6057
2024-09-01,-90.0,11.5,363.66287
2024-09-01,-110.0,11.75,401.26422
2024-09-01,-109.75,11.75,404.1113
2024-09-01,-109.5,11.75,410.08508
2024-09-01,-109.25,11.75,418.3711
2024-09-01,-109.0,11.75,428.9306
2024-09-01,-108.75,11.75,439.1339
2024-09-01,-108.5,11.75,446.63727
2024-09-01,-108.25,11.75,447.73257
2024-09-01,-108.0,11.75,446.54388
2024-09-01,-107.75,11.75,443.5622
2024-09-01,-107.5,11.75,439.1593
2024-09-01,-107.25,11.75,436.01678
2024-09-01,-107.0,11.75,435.90692
2024-09-01,-106.75,11.75,436.13843
2024-09-01,-106.5,11.75,435.33203
2024-09-01,-106.25,11.75,434.5717
2024-09-01,-106.0,11.75,425.7483
2024-09-01,-105.75,11.75,419.3263
2024-09-01,-105.5,11.75,416.66687
2024-09-01,-105.25,11.75,415.21143
2024-09-01,-105.0,11.75,414.55188
2024-09-01,-104.75,11.75,415.50714
2024-09-01,-104.5,11.75,418.1169
2024-09-01,-104.25,11.75,422.57977
2024-09-01,-104.0,11.75,427.9062
2024-09-01,-103.75,11.75,434.44257
2024-09-01,-103.5,11.75,440.97214
2024-09-01,-103.25,11.75,446.47784
2024-09-01,-103.0,11.75,449.909
2024-09-01,-102.75,11.75,449.71033
2024-09-01,-102.5,11.75,445.36832
2024-09-01,-102.25,11.75,441.32083
2024-09-01,-102.0,11.75,441.2659
2024-09-01,-101.75,11.75,441.46387
2024-09-01,-101.5,11.75,434.3265
2024-09-01,-101.25,11.75,429.5557
2024-09-01,-101.0,11.75,432.62695
2024-09-01,-100.75,11.75,442.07233
2024-09-01,-100.5,11.75,445.72247
2024-09-01,-100.25,11.75,444.75946
2024-09-01,-100.0,11.75,438.57758
2024-09-01,-99.75,11.75,431.2575
2024-09-01,-99.5,11.75,424.54462
2024-09-01,-99.25,11.75,423.82758
2024-09-01,-99.0,11.75,435.8379
2024-09-01,-98.75,11.75,441.94595
2024-09-01,-98.5,11.75,435.133
2024-09-01,-98.25,11.75,418.0093
2024-09-01,-98.0,11.75,389.56573
2024-09-01,-97.75,11.75,379.1115
2024-09-01,-97.5,11.75,382.11005
2024-09-01,-97.25,11.75,391.92798
2024-09-01,-97.0,11.75,407.4665
2024-09-01,-96.75,11.75,411.93393
2024-09-01,-96.5,11.75,399.1806
2024-09-01,-96.25,11.75,382.54703
2024-09-01,-96.0,11.75,371.8714
2024-09-01,-95.75,11.75,370.26013
2024-09-01,-95.5,11.75,372.13324
2024-09-01,-95.25,11.75,387.97644
2024-09-01,-95.0,11.75,404.71585
2024-09-01,-94.75,11.75,412.26807
2024-09-01,-94.5,11.75,423.84528
2024-09-01,-94.25,11.75,441.46957
2024-09-01,-94.0,11.75,445.36115
2024-09-01,-93.75,11.75,435.85077
2024-09-01,-93.5,11.75,400.96338
2024-09-01,-93.25,11.75,393.7526
2024-09-01,-93.0,11.75,388.06543
2024-09-01,-92.75,11.75,386.07864
2024-09-01,-92.5,11.75,393.25226
2024-09-01,-92.25,11.75,406.03668
2024-09-01,-92.0,11.75,431.01532
2024-09-01,-91.75,11.75,467.60602
2024-09-01,-91.5,11.75,478.25577
2024-09-01,-91.25,11.75,444.4539
2024-09-01,-91.0,11.75,398.23138
2024-09-01,-90.75,11.75,392.0371
2024-09-01,-90.5,11.75,381.70782
2024-09-01,-90.25,11.75,364.93207
2024-09-01,-90.0,11.75,359.8551
2024-09-01,-110.0,12.0,415.17126
2024-09-01,-109.75,12.0,427.22153
2024-09-01,-109.5,12.0,437.9655
2024-09-01,-109.25,12.0,445.2365
2024-09-01,-109.0,12.0,448.87433
2024-09-01,-108.75,12.0,450.57843
2024-09-01,-108.5,12.0,451.3745
2024-09-01,-108.25,12.0,449.8444
2024-09-01,-108.0,12.0,447.57037
2024-09-01,-107.75,12.0,444.12817
2024-09-01,-107.5,12.0,440.14633
2024-09-01,-107.25,12.0,437.22632
2024-09-01,-107.0,12.0,437.49768
2024-09-01,-106.75,12.0,437.484
2024-09-01,-106.5,12.0,437.04517
2024-09-01,-106.25,12.0,437.80228
