time,latitude,longitude,u,v,mag,pco2_uatm,ssh,sst,sss,chl
2024-09-01,10.25,-98.75,4.432449341,0.360641479,4.447096742,426.55795,0.17787383,29.111122,33.073963,0.27665263
2024-09-01,10.25,-98.5,4.899856567,5.44493103,7.325016608,377.9137,0.20344822,29.214043,33.04186,0.3379685
2024-09-01,10.25,-98.25,5.100997925,6.896469116,8.577963983,377.58307,0.19381252,29.805552,32.832195,0.4235252
2024-09-01,10.25,-98.0,5.194000244,5.088195801,7.270995464,410.94974,0.15220338,29.557955,32.88516,0.20755471
2024-09-01,10.25,-97.75,3.885620117,1.800842285,4.28264832,383.50296,0.1553768,30.203327,32.840954,0.25629565
2024-09-01,10.25,-97.5,4.821716309,0.364440918,4.835469506,373.28354,0.16839245,29.965107,32.881836,0.2191996
2024-09-01,10.25,-97.25,-1.958892822,-0.134552002,1.963508424,386.78513,0.17179808,30.069765,32.925907,0.2901836
2024-09-01,10.25,-97.0,3.91444397,1.786849976,4.302987849,391.55502,0.12919915,30.04578,32.948635,0.46488297
2024-09-01,10.25,-96.75,5.419128418,1.956695557,5.761563183,394.65002,0.12531053,30.161919,32.98872,0.29080227
2024-09-01,10.25,-96.5,-0.88508606,-0.188278198,0.904890056,391.54266,0.15792073,30.031252,32.979465,0.35415372
2024-09-01,10.25,-96.25,3.662948608,-0.518615723,3.699480339,397.9761,0.10952845,29.797857,33.16403,0.42416722
2024-09-01,10.25,-96.0,6.769714355,5.042068481,8.441059591,411.69208,0.15588617,29.87229,33.13235,0.4310096
2024-09-01,10.25,-95.75,4.584014893,1.522003174,4.830081386,396.70862,0.09782364,30.310884,33.57116,0.33036485
2024-09-01,10.25,-95.5,1.479797363,2.355178833,2.781486576,409.7931,0.10532936,30.41686,33.232754,0.3232666
2024-09-01,10.25,-95.25,-3.598007202,-0.101577759,3.599440772,405.0317,0.10324595,30.696764,33.39794,0.35726076
2024-09-01,10.25,-95.0,1.123840332,0.064041138,1.12566352,464.22055,0.1197761,30.380438,33.641773,0.23446947
2024-09-01,10.25,-94.75,2.338226318,0.589889526,2.411487501,473.31464,0.12884773,30.330145,33.432297,0.30917364
2024-09-01,10.25,-94.5,-0.125930786,1.912033081,1.916175635,474.44086,0.09645506,29.134525,33.91207,0.31194893
2024-09-01,10.25,-94.25,1.687530518,5.499954224,5.753021442,478.23367,0.13028114,29.921095,33.439236,0.30840892
2024-09-01,10.25,-94.0,4.218490601,2.022720337,4.678360878,463.15488,0.1611935,29.789576,33.173454,0.3031769
2024-09-01,10.25,-93.75,2.871673584,1.309204102,3.156029872,475.6518,0.1754898,29.55778,33.204906,0.31620258
2024-09-01,10.25,-93.5,1.963699341,2.379348755,3.085030891,480.4107,0.1573657,30.251097,33.3643,0.30633867
2024-09-01,10.25,-93.25,2.194076538,1.222732544,2.511781585,476.54895,0.12996964,27.847826,33.248753,0.31908756
2024-09-01,10.25,-93.0,1.977874756,-0.112884521,1.981093502,460.98453,0.13302456,28.631136,33.862125,0.33378652
2024-09-01,10.25,-92.75,3.731918335,-1.68637085,4.095248601,473.37793,0.14111015,28.556656,33.62598,0.33520722
2024-09-01,10.25,-92.5,3.117202759,-0.940460205,3.255981947,415.53162,0.17296058,29.405357,34.126442,0.32437232
2024-09-01,10.25,-92.25,-2.894104004,0.447555542,2.928505412,473.5056,0.18231702,28.7429,34.13536,0.3157844
2024-09-01,10.25,-92.0,-1.607696533,1.933609009,2.514663385,450.46664,0.18276337,30.234367,34.154037,0.3046506
2024-09-01,10.25,-91.75,0.172241211,0.934020996,0.94976958,404.03918,0.12219529,29.99209,33.620182,0.3167045
2024-09-01,10.25,-91.5,4.378448486,1.967300415,4.800112714,486.04938,0.17272715,29.255058,33.72617,0.3239698
2024-09-01,10.25,-91.25,1.381744385,2.433853149,2.798724477,431.5898,0.21285363,28.69461,33.7118,0.3700412
2024-09-01,10.25,-91.0,0.291351318,0.25378418,0.38638323,527.9233,0.17757651,29.967194,33.205902,0.36761215
2024-09-01,10.25,-90.75,-0.849182129,-0.438858032,0.955880045,461.9768,0.20502667,29.967617,33.32281,0.33658817
2024-09-01,10.25,-90.5,1.292190552,-0.914138794,1.582847484,385.4007,0.1414125,30.00517,32.789604,0.38295662
2024-09-01,10.25,-90.25,2.099304199,-1.227081299,2.431626335,357.3633,0.16200997,31.058722,32.93339,0.33583638
2024-09-01,10.25,-90.0,3.246551514,0.820526123,3.348635521,367.55908,0.13012323,30.445644,32.633064,0.387326
2024-09-01,10.5,-105.0,6.484405518,4.770172119,8.049972482,393.647,0.2085955,28.167576,33.505318,0.32517874
2024-09-01,10.5,-104.75,4.82170105,5.970184326,7.674105935,388.60333,0.23856056,28.578085,32.79174,0.31987563
2024-09-01,10.5,-104.5,5.87097168,4.927871704,7.665000195,391.32138,0.2521042,28.253323,33.036457,0.29764113
2024-09-01,10.5,-104.25,6.263946533,4.767883301,7.872085959,392.66006,0.28407934,28.430267,33.15583,0.30487713
2024-09-01,10.5,-104.0,5.53855896,-1.850540161,5.839532022,395.47043,0.2924772,28.804516,33.27439,0.33705854
2024-09-01,10.5,-103.75,3.586624146,4.178314209,5.506558126,393.7265,0.25751245,28.192257,33.09114,0.33983257
2024-09-01,10.5,-103.5,6.571029663,2.160415649,6.917067776,396.35953,0.26337263,28.83527,32.9706,0.31703606
2024-09-01,10.5,-103.25,4.039413452,2.632888794,4.821717997,414.37152,0.23259297,28.03818,33.044407,0.30198556
2024-09-01,10.5,-103.0,4.625930786,-0.615142822,4.666651512,404.7989,0.21971712,28.944628,33.25882,0.3116651
2024-09-01,10.5,-102.75,6.433303833,4.139038086,7.649773492,410.43637,0.20472956,28.088896,33.113117,0.27945322
2024-09-01,10.5,-102.5,6.017852783,4.525772095,7.529751999,422.94708,0.23583326,29.447012,33.380646,0.26616937
2024-09-01,10.5,-102.25,-1.113800049,1.937179565,2.234550339,426.23965,0.21504612,28.953865,33.347363,0.29451153
2024-09-01,10.5,-102.0,4.560165405,3.249084473,5.599255168,434.59113,0.2039521,29.249863,33.51378,0.40692943
2024-09-01,10.5,-101.75,5.897735596,2.823913574,6.538942807,440.1553,0.18357387,28.381063,33.73135,0.3964709
2024-09-01,10.5,-101.5,-5.005050659,-3.924621582,6.360281964,446.13098,0.17957804,28.383238,33.733204,0.314979
2024-09-01,10.5,-101.25,3.981201172,-2.136703491,4.51834755,460.11102,0.19382949,28.966755,33.920097,0.3510574
2024-09-01,10.5,-101.0,4.157958984,-2.103500366,4.659757151,451.31656,0.14513004,28.810772,33.423504,0.38882843
2024-09-01,10.5,-100.75,4.321044922,-0.170211792,4.324396059,431.45993,0.17985605,28.634924,33.390816,0.3176332
2024-09-01,10.5,-100.5,-0.544464111,1.29083252,1.4009603,445.64508,0.1973774,28.731686,33.404346,0.32698187
2024-09-01,10.5,-100.25,2.521392822,7.958496094,8.348358032,445.74774,0.18412167,29.121967,33.24439,0.31572434
2024-09-01,10.5,-100.0,1.934066772,0.748214722,2.073750118,445.79178,0.16604578,29.512918,33.198376,0.32734665
2024-09-01,10.5,-99.75,3.979309082,0.152908325,3.982245814,442.89066,0.19307962,29.585625,33.241352,0.35563853
2024-09-01,10.5,-99.5,2.625717163,2.912307739,3.921214989,438.40225,0.18533768,29.57052,33.240906,0.33647406
2024-09-01,10.5,-99.25,0.215866089,-0.097915649,0.237035109,422.8158,0.17774703,29.389202,33.35675,0.33380568
2024-09-01,10.5,-99.0,1.063735962,0.517486572,1.182931337,388.78552,0.17193843,28.925623,32.965637,0.39098933
2024-09-01,10.5,-98.75,5.424926758,2.871902466,6.138212615,383.75018,0.20402227,29.51109,33.317398,0.3043057
2024-09-01,10.5,-98.5,3.295120239,0.010040283,3.295135536,396.70032,0.15819174,30.104673,32.628464,0.14452109
2024-09-01,10.5,-98.25,-1.537307739,0.641326904,1.665717648,381.37585,0.18138948,30.339718,32.564697,0.25215632
2024-09-01,10.5,-98.0,3.688171387,0.182601929,3.692688945,382.1604,0.16434091,30.592117,32.617878,0.20948355
2024-09-01,10.5,-97.75,2.584533691,0.598510742,2.652928478,381.6313,0.17047375,29.92081,32.978535,0.26252797
2024-09-01,10.5,-97.5,5.703735352,0.173355103,5.706369157,386.39813,0.14220305,30.591932,32.67663,0.23231883
2024-09-01,10.5,-97.25,0.900970459,1.175796509,1.481298484,389.61838,0.1437816,30.385695,32.972538,0.24924654
2024-09-01,10.5,-97.0,2.593353271,1.349075317,2.923266222,374.3616,0.16652773,30.579268,33.05503,0.25322902
2024-09-01,10.5,-96.75,1.424285889,-1.191360474,1.856860272,395.57742,0.14118145,29.97867,33.2173,0.30371013
2024-09-01,10.5,-96.5,5.256881714,-0.349960327,5.268517589,379.30814,0.13298152,29.99127,33.233925,0.33307347
2024-09-01,10.5,-96.25,3.173461914,-0.727645874,3.25581465,411.1029,0.15124388,30.908224,33.121643,0.31613955
2024-09-01,10.5,-96.0,-0.340194702,-2.478500366,2.501738696,404.80362,0.14815705,30.041794,32.948532,0.46411455
2024-09-01,10.5,-95.75,-1.077362061,0.852203369,1.373666478,416.7783,0.11991884,30.629393,33.161526,0.22022238
2024-09-01,10.5,-95.5,4.302871704,-0.359329224,4.317849279,429.61453,0.12108725,30.990126,33.163513,0.35141358
2024-09-01,10.5,-95.25,2.406005859,4.906951904,5.465074673,441.46582,0.10629405,28.73753,33.757973,0.31350493
2024-09-01,10.5,-95.0,3.94392395,-0.703857422,4.006239059,410.92758,0.14663976,29.964216,33.07922,0.3194846
2024-09-01,10.5,-94.75,0.393676758,4.487579346,4.504814066,475.25516,0.13209666,30.426538,33.609253,0.31716895
2024-09-01,10.5,-94.5,5.037322998,1.716766357,5.321833304,456.92657,0.09929503,29.306704,33.89368,0.3169544
2024-09-01,10.5,-94.25,3.893478394,1.34211731,4.11830704,470.71472,0.18365763,29.594912,33.424458,0.3206247
2024-09-01,10.5,-94.0,3.367324829,3.751556396,5.041135973,468.07437,0.11094622,29.25942,33.840096,0.32072207
2024-09-01,10.5,-93.75,-1.05770874,-0.8697052,1.369355657,455.491,0.13578792,28.572329,33.5978,0.32275903
2024-09-01,10.5,-93.5,2.401092529,3.127853394,3.943185538,459.72357,0.15831587,30.46687,33.84058,0.3326165
2024-09-01,10.5,-93.25,5.064208984,-2.603317261,5.694161343,448.14886,0.14057128,28.774727,33.8945,0.31954163
2024-09-01,10.5,-93.0,5.454727173,2.4271698,5.970360271,472.71954,0.18400507,29.464453,33.887203,0.3181284
2024-09-01,10.5,-92.75,2.999603271,2.298294067,3.778859009,439.1681,0.20472232,29.125206,33.950638,0.32612452
2024-09-01,10.5,-92.5,3.786315918,-0.002532959,3.786316765,428.37094,0.15312824,27.978094,34.01874,0.32265282
2024-09-01,10.5,-92.25,4.030059814,-0.211425781,4.035601934,436.3888,0.2022695,28.62286,34.061146,0.33283827
2024-09-01,10.5,-92.0,-0.115036011,2.316772461,2.319626677,403.81467,0.17124045,30.41307,34.161175,0.33214176
2024-09-01,10.5,-91.75,3.113250732,-1.199417114,3.336305073,399.33887,0.18121871,28.80186,34.00618,0.34593484
2024-09-01,10.5,-91.5,-0.828903198,1.125,1.397392397,420.79816,0.10916936,29.993345,34.02551,0.31127018
2024-09-01,10.5,-91.25,-0.664306641,-2.516983032,2.603172468,444.22742,0.115191676,30.203321,33.342552,0.3293118
2024-09-01,10.5,-91.0,-2.371643066,-1.100997925,2.614744206,528.3169,0.19970486,30.42965,32.980755,0.34267867
2024-09-01,10.5,-90.75,2.973526001,3.200271606,4.36847745,382.54297,0.19369268,30.375776,33.078705,0.37343508
2024-09-01,10.5,-90.5,4.63659668,2.302658081,5.176897044,362.46393,0.18701577,30.448397,32.732937,0.35370582
2024-09-01,10.5,-90.25,-5.520980835,0.895797729,5.593181827,365.97623,0.17528334,30.290386,32.85151,0.36724907
2024-09-01,10.5,-90.0,4.127243042,-0.179718018,4.131154039,359.97888,0.12792724,30.497267,32.70991,0.3929867
2024-09-01,10.75,-105.0,3.811676025,4.920776367,6.224380626,396.69012,0.2311795,28.643927,32.954662,0.3064565
2024-09-01,10.75,-104.75,-4.233764648,-1.724304199,4.571431731,397.82394,0.2617645,28.445078,33.435085,0.31648976
2024-09-01,10.75,-104.5,4.829681396,4.569137573,6.648521682,402.534,0.23830193,28.220509,33.5331,0.30229825
2024-09-01,10.75,-104.25,2.862411499,4.248641968,5.122924766,402.0665,0.25542632,28.131018,33.52948,0.3194585
2024-09-01,10.75,-104.0,6.970489502,1.262619019,7.083920573,397.9506,0.28278193,28.868446,33.22436,0.3110507
2024-09-01,10.75,-103.75,4.760009766,2.033203125,5.176061043,392.2571,0.29609272,28.713938,32.818707,0.31762773
2024-09-01,10.75,-103.5,4.882415771,1.71723938,5.175605747,396.18616,0.28893602,28.690393,32.97561,0.30738276
2024-09-01,10.75,-103.25,4.710586548,5.691818237,7.388262345,391.03162,0.21724032,27.919172,33.017937,0.31742975
2024-09-01,10.75,-103.0,-0.709320068,-1.312042236,1.49150588,398.40674,0.2734458,29.160921,33.00151,0.3042476
